column,use_as_predictor,reason
source_file,False,Identifier / grouping key only - not a physical descriptor.
source_path,False,Filesystem identifier.
doi,False,"Publication identifier; used to build paper_id, never as a predictor."
year,False,Publication metadata; a proxy for which paper a row came from (paper-level leakage under grouped CV).
authors,False,Publication metadata / identifier.
electrode_label,False,Free-text within-paper label; acts as a row identifier.
role,False,"Annotation of the electrode's role in its own paper (primary/control/variant); assigned partly BECAUSE of the measured performance - post-hoc, not knowable before the experiment."
is_primary,False,"Same as `role`: the 'primary' electrode is usually the best-performing one, i.e. selected on the outcome."
mxene_formula,True,Materials composition known before testing. (Near-constant here - see candidate table.)
mxene_formula__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
mxene_formula__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
composition,True,Materials composition known before testing.
composition__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
composition__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
synthesis_method,True,Processing route known before testing.
synthesis_method__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
synthesis_method__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
layer_no,True,Structural descriptor of the electrode material.
layer_no__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
layer_no__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
layer_no__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
interlayer_spacing,True,"Structural descriptor (XRD (002)) measured on the electrode, independent of capacitance."
interlayer_spacing__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
interlayer_spacing__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
interlayer_spacing__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
flake_size,True,Morphological descriptor.
flake_size__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
flake_size__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
flake_size__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
porosity,True,Structural descriptor.
porosity__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
porosity__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
porosity__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
pore_diameter,True,Structural descriptor.
pore_diameter__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
pore_diameter__conf,False,"Extraction-confidence metadata about the target/descriptor, not a physical property; target-confidence in particular is annotated with knowledge of the reported value."
pore_diameter__src,False,Provenance string (table/figure/text location); pure metadata that can quote the value.
tortuosity,False,Completely empty in this corpus.
tortuosity__unit,False,"Unit string; consumed during normalisation, then discarded (a raw unit column would encode which paper a row came from)."
