descriptor,display_name,SHAP_rank,SHAP_normalized_importance,SHAP_rank_SD_across_folds,top5_frequency,rank_change_under_augmentation,SHAP_stability,missing_fraction,n_observations,feature_type,shap_direction,physical_role,category,recommended_as_PINN_input,reason
interlayer_A,Interlayer spacing (A),4.0,0.10494807362556458,1.5811388300841898,0.8,0.0,moderately stable,0.2542,88,numeric,decreasing,Geometric: ion-accessible gallery height; sets the confinement length scale in any transport description.,A -- physics-grade input,yes,"SHAP rank 4 with 25% missingness, top-5 in 80% of grouped folds; ranking preserved under Bayesian resampling. SHAP quantifies model attribution within this corpus and is not evidence of causation."
scan_rate_mV_s,Scan rate (mV/s),3.0,0.15917468070983887,1.095445115010332,1.0,0.0,moderately stable,0.2542,88,numeric,decreasing,"Kinetic: sets the timescale probed, hence the diffusion length sampled.",A -- physics-grade input,yes,"SHAP rank 3 with 25% missingness, top-5 in 100% of grouped folds; ranking preserved under Bayesian resampling. SHAP quantifies model attribution within this corpus and is not evidence of causation."
current_density_A_g,Current density (A/g),9.0,0.02872302196919918,1.4832396974191326,0.0,,moderately stable,0.7034,35,numeric,non-monotone/flat,Kinetic: galvanostatic rate condition; appears directly in C_g = j dt / dV.,C -- excluded,no,reported for only 30% of usable rows; too sparse to constrain a model or a physics term. SHAP quantifies model attribution within this corpus and is not evidence of causation.
mass_loading_mg_cm2,Mass loading (mg/cm2),10.0,0.02072499319911003,0.8944271909999159,0.0,,stable,0.5339,55,numeric,non-monotone/flat,Geometric: areal mass; enters the exact areal closure C_A = C_g m_A.,A -- physics-grade input,yes (as a closure variable),"weak standalone SHAP (rank 10) but appears exactly in the verified capacitance closure identities, so it enters the physics term rather than the data term. SHAP quantifies model attribution within this corpus and is not evidence of causation."
electrode_thickness_um,Electrode thickness (um),7.0,0.045783065259456635,1.0,0.0,,stable,0.5424,54,numeric,decreasing,Geometric: transport path length; with m_A gives electrode density for the volumetric closure.,A -- physics-grade input,yes (as a closure variable),"weak standalone SHAP (rank 7) but appears exactly in the verified capacitance closure identities, so it enters the physics term rather than the data term. SHAP quantifies model attribution within this corpus and is not evidence of causation."
ssa_m2_g,Specific surface area (m2/g),6.0,0.06989502906799316,1.51657508881031,0.2,,moderately stable,0.7034,35,numeric,increasing,Textural: nominal gas-sorption area; only loosely related to wetted electrochemical area in restacked films.,C -- excluded,no,reported for only 30% of usable rows; too sparse to constrain a model or a physics term. SHAP quantifies model attribution within this corpus and is not evidence of causation.
flake_size_um,Flake size (um),12.0,0.004383159801363945,1.095445115010332,0.0,,moderately stable,0.9068,11,numeric,decreasing,Geometric: in-plane diffusion length.,C -- excluded,no,reported for only 9% of usable rows; too sparse to constrain a model or a physics term. SHAP quantifies model attribution within this corpus and is not evidence of causation.
pore_diameter_nm,Pore diameter (nm),11.0,0.012714553624391556,1.224744871391589,0.0,,moderately stable,0.9661,4,numeric,n/a (categorical),Geometric: meso/macropore scale of engineered architectures.,C -- excluded,no,reported for only 3% of usable rows; too sparse to constrain a model or a physics term. SHAP quantifies model attribution within this corpus and is not evidence of causation.
h2so4_M,H2SO4 concentration (M),2.0,0.19927605986595154,0.8944271909999161,1.0,1.0,stable,0.0593,111,numeric,increasing,Boundary condition: bulk proton activity entering Nernstian and Poisson-Nernst-Planck terms.,A -- physics-grade input,yes,"SHAP rank 2 with 6% missingness, top-5 in 100% of grouped folds; ranking preserved under Bayesian resampling. SHAP quantifies model attribution within this corpus and is not evidence of causation."
layer_class,Layer morphology,5.0,0.09184713661670685,0.4472135954999578,1.0,0.0,stable,0.1949,95,categorical,n/a (categorical),Qualitative proxy for delamination state; no direct parameter in a transport equation.,B -- ML covariate,not directly,"SHAP rank 5 and well covered, but a categorical bucket with no counterpart in a governing equation; keep as a model covariate and recast as a continuous quantity before it can enter a physics term. SHAP quantifies model attribution within this corpus and is not evidence of causation."
composition_family,Composition family,1.0,0.22311896085739136,0.8944271909999159,1.0,1.0,stable,0.0,118,categorical,n/a (categorical),Categorical bucket for the active phase; not a physical parameter.,B -- ML covariate,not directly,"SHAP rank 1 and well covered, but a categorical bucket with no counterpart in a governing equation; keep as a model covariate and recast as a continuous quantity before it can enter a physics term. SHAP quantifies model attribution within this corpus and is not evidence of causation."
synthesis_family,synthesis_family,,,,,,not assessed,0.0,118,categorical,n/a (categorical),Processing label; no physical parameter.,C -- excluded,no,"constant across the usable corpus, so it carries no information. SHAP quantifies model attribution within this corpus and is not evidence of causation."
electrolyte_is_gel,Gel electrolyte,8.0,0.039411239326000214,2.0,0.0,,unstable,0.0,118,categorical,n/a (categorical),Binary proxy for electrolyte phase; affects ionic conductivity but is not quantitative.,B -- ML covariate,not directly,categorical proxy of limited importance. SHAP quantifies model attribution within this corpus and is not evidence of causation.
