component,variable/equation,role,evidence_from_dataset,physical_basis,implementation,confidence
Target,C_g  [F/g],supervised output,118 usable single-valued observations from 40 papers,gravimetric capacitance,"softplus output head, guaranteeing C_g > 0",high
Primary inputs,"interlayer_A, scan_rate_mV_s, mass_loading_mg_cm2, electrode_thickness_um, h2so4_M",physics-grade descriptors,Category A of descriptor_classification.csv,"geometry, electrolyte boundary condition, kinetic rate condition",standardised continuous inputs + missingness indicators,medium-high
Context covariates,"layer_class, composition_family, electrolyte_is_gel",nuisance / context,Category B,"categorical proxies, no equation counterpart",embedding or one-hot; excluded from every physics term,medium
Auxiliary outputs,"C_A [F/cm2], C_V [F/cm3]",multi-task supervision,"39 rows with reported C_A, 34 with reported C_V",algebraic transforms of the target,"separate heads, masked loss on rows where reported. NEVER inputs (that would be target leakage)",high
Physics closure 1,C_A = C_g * m_A,hard consistency constraint,holds to <5% for 85% of 39 testable rows (median error 0.38%),definition of areal vs gravimetric normalisation,penalty ||C_A_hat - C_g_hat * m_A||^2 on rows with known m_A,high
Physics closure 2,C_V = C_g * m_A / t,hard consistency constraint,holds to <5% for 76% of 34 testable rows (median error 0.87%),electrode density rho = m_A / t,penalty ||C_V_hat - C_g_hat * m_A / t||^2 where m_A and t are known,medium-high
Positivity,C_g > 0,hard bound,all 118 observed values are positive,capacitance is non-negative,"softplus output (architectural, not a penalty)",high
Domain bound,x within the training descriptor hull,soft bound,median within-paper descriptor range is only 0% of the global range,no extrapolation warrant outside the sampled experimental domain,"penalty on predictions for out-of-hull inputs, or abstention",medium
Monotonicity,none imposed,deliberately omitted,"the corpus shows a NEGATIVE association between interlayer spacing and predicted C_g, opposite to the naive expectation",would require causal evidence the corpus does not provide,not implemented; revisit only with controlled experiments,high (in the decision to omit)
Validation,GroupKFold on paper_id,evaluation protocol,target between-paper variance share eta^2 = 0.64,n/a,grouped CV only; never random splits; no synthetic rows in test,high
