feature,real_SHAP_rank,real_SHAP_rank_sd_across_folds,n_folds_in_top5,cohort_real_SHAP_rank,augmented_SHAP_rank,abs_rank_change_after_augmentation,rank_stability,missingness,physical_interpretability,shap_direction_vs_physics,in_bn_feature_set,recommended_for_PINN,reason
composition_family,2,0.8944271909999159,5,2.0,1.0,1.0,stable,0.0,"low/medium - a categorical bucket, not a physical parameter",not assessed (categorical or too sparse),True,conditional - needs a continuous physical parameterisation,"criteria met 4/5; unmet: categorical: informative for the surrogate, but a PINN needs it recast as a continuous physical quantity (composition_family -> intercalant mass fraction; layer_class -> measured stacking number). SHAP is a model-attribution measure, not evidence of causation."
layer_class,5,0.44721359549995787,5,5.0,5.0,0.0,stable,0.195,medium - qualitative stand-in for the delamination state,not assessed (categorical or too sparse),True,conditional - needs a continuous physical parameterisation,"criteria met 4/5; unmet: categorical: informative for the surrogate, but a PINN needs it recast as a continuous physical quantity (composition_family -> intercalant mass fraction; layer_class -> measured stacking number). SHAP is a model-attribution measure, not evidence of causation."
ssa_m2_g,6,1.51657508881031,1,,,,not evaluated (not in BN cohort),0.703,"medium - proxy for wetted area, poorly correlated with it in restacked films","yes - more accessible area, though BET is a weak proxy in restacked films",False,not recommended yet,"criteria met 0/5; unmet: real_shap_strong, fold_stable, augmentation_stable, coverage_ok, physically_interpretable. SHAP is a model-attribution measure, not evidence of causation."
electrode_thickness_um,7,1.0,0,,,,not evaluated (not in BN cohort),0.542,high - explicit geometry,flat - no claim,False,not recommended yet,"criteria met 1/5; unmet: real_shap_strong, fold_stable, augmentation_stable, coverage_ok. SHAP is a model-attribution measure, not evidence of causation."
current_density_A_g,8,1.4832396974191326,0,,,,not evaluated (not in BN cohort),0.703,high - galvanostatic boundary condition,flat - no claim,False,not recommended yet,"criteria met 1/5; unmet: real_shap_strong, fold_stable, augmentation_stable, coverage_ok. SHAP is a model-attribution measure, not evidence of causation."
mass_loading_mg_cm2,9,0.8944271909999159,0,,,,not evaluated (not in BN cohort),0.534,high - sets the transport domain length scale,**contradicts the physical expectation**,False,not recommended yet,"criteria met 1/5; unmet: real_shap_strong, fold_stable, augmentation_stable, coverage_ok, SHAP direction contradicts the physical expectation - use it as a PINN input only alongside a mechanistic term that can absorb the confound, not as a fitted monotone trend. SHAP is a model-attribution measure, not evidence of causation."
electrolyte_is_gel,10,2.0,0,,,,not evaluated (not in BN cohort),0.0,medium - changes ionic conductivity and confinement,not assessed (categorical or too sparse),False,not recommended yet,"criteria met 1/5; unmet: real_shap_strong, fold_stable, augmentation_stable, physically_interpretable. SHAP is a model-attribution measure, not evidence of causation."
flake_size_um,11,1.0954451150103321,0,,,,not evaluated (not in BN cohort),0.907,medium - in-plane diffusion length,plausible - longer in-plane diffusion path,False,not recommended yet,"criteria met 0/5; unmet: real_shap_strong, fold_stable, augmentation_stable, coverage_ok, physically_interpretable. SHAP is a model-attribution measure, not evidence of causation."
pore_diameter_nm,12,1.224744871391589,0,,,,not evaluated (not in BN cohort),0.966,medium - only meaningful for engineered architectures,not assessed (categorical or too sparse),False,not recommended yet,"criteria met 0/5; unmet: real_shap_strong, fold_stable, augmentation_stable, coverage_ok, physically_interpretable. SHAP is a model-attribution measure, not evidence of causation."
synthesis_family,13,0.4472135954999579,0,,,,not evaluated (not in BN cohort),0.0,low - processing label,not assessed (categorical or too sparse),False,not recommended yet,"criteria met 1/5; unmet: real_shap_strong, fold_stable, augmentation_stable, physically_interpretable. SHAP is a model-attribution measure, not evidence of causation."
h2so4_M,1,0.8944271909999161,5,1.0,2.0,1.0,stable,0.059,high - enters Nernst/Poisson-Nernst-Planck terms directly,yes - more protons means more Ti-O pseudocapacitance,True,recommended,"criteria met 5/5. SHAP is a model-attribution measure, not evidence of causation."
scan_rate_mV_s,3,1.0954451150103321,5,4.0,4.0,0.0,stable,0.254,high - sets the timescale in the transport PDE,yes - faster sweeps starve the interlayer of ions,True,recommended,"criteria met 5/5. SHAP is a model-attribution measure, not evidence of causation."
interlayer_A,4,1.5811388300841898,4,3.0,3.0,0.0,stable,0.254,high - direct geometric input to an ion-transport PINN,**contradicts the physical expectation** - a wider gallery should ease ion access,True,recommended,"criteria met 5/5; unmet: SHAP direction contradicts the physical expectation - use it as a PINN input only alongside a mechanistic term that can absorb the confound, not as a fitted monotone trend. SHAP is a model-attribution measure, not evidence of causation."
