level,feature,category,tier,description,preferred_unit,literature_basis
electrode,mxene_formula,identity,core,"Normalized MXene formula, e.g. Ti3C2Tx or Mo2TiC2Tx",,Krishna 2024; Kawai 2025
electrode,parent_max_phase,identity,extended,Parent MAX-phase formula used to synthesize the MXene,,MXene literature
electrode,composition,identity,core,Complete active-material composition including MXene and all partners,,Mishra 2023; Saad 2022
electrode,mxene_family,identity,extended,"Carbide, nitride, or carbonitride and M_n+1X_n family",,MXene literature
electrode,composite_partner,identity,core,"Non-MXene active component or support, e.g. rGO, CNT, MnO2, polymer",,Saad 2022; Vasistha 2026
electrode,composite_ratio,identity,core,"Reported mass, molar, or volume ratio among active components",,Saad 2022
electrode,mxene_weight_fraction,identity,core,MXene content in the active electrode or composite,wt%,Krishna 2024
electrode,dopant_elements,identity,extended,Intentionally introduced dopant element or elements,,Su 2019; Mishra 2023
electrode,dopant_content,identity,extended,Reported dopant loading or concentration,at% or wt%,Su 2019; Mishra 2023
electrode,intercalant,identity,core,"Molecule, ion, polymer, or species intentionally inserted between layers",,Kawai 2025; MXene literature
electrode,preintercalated_ion,identity,core,Ion present before electrochemical testing as a pillar or pre-intercalant,,Kawai 2025
electrode,surface_termination_summary,surface chemistry,core,"Reported surface terminations or functional groups, such as -O, -OH, -F, -Cl",,Kawai 2025; MXene literature
electrode,electrode_architecture,identity,core,"Film, paper, hydrogel, aerogel, foam, fiber, printed structure, coating, or powder electrode",,Mishra 2023
electrode,morphology,identity,core,"Reported morphology, e.g. accordion-like, nanosheet, porous network, aligned lamellae",,Mishra 2023; Saad 2022
electrode,layer_state,identity,core,"Single-layer, few-layer, multilayer, delaminated, or restacked state",,MXene literature
electrode,synthesis_method,synthesis,core,Overall route from precursor to final active material,,Vasistha 2026; MXene literature
electrode,etchant,synthesis,core,"Etching chemistry, e.g. HF, LiF/HCl, NH4HF2, molten salt, alkali",,MXene literature
electrode,etchant_concentration,synthesis,extended,Etchant concentration or component amounts,"M, wt%, or reported",MXene literature
electrode,etching_temperature,synthesis,extended,Temperature used during MAX-phase etching,degC,MXene literature
electrode,etching_time,synthesis,extended,Duration of etching,h,MXene literature
electrode,delamination_method,synthesis,core,Method used to delaminate or exfoliate multilayer MXene,,MXene literature
electrode,delamination_agent,synthesis,extended,Chemical or ion used to assist delamination,,MXene literature
